VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE
C1-N_8C4-5,Animal_1,Nose,Chamber3,rectangle,TOTAL ROI TIME (S),8.719999999999995
C1-N_8C4-5,Animal_1,Nose,Top_half,rectangle,FIRST ROI ENTRY TIME (S),23.04
C1-N_8C4-5,Animal_1,Nose,Top_half,rectangle,ROI ENTRIES (COUNTS),29.0
C1-N_8C4-5,Animal_1,Nose,Top_half,rectangle,TOTAL ROI TIME (S),2.8800000000000003
C1-N_8D2-0,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),16.16
C1-N_8D2-0,Animal_1,Nose,Chamber1,rectangle,ROI ENTRIES (COUNTS),59.0
C1-N_8D2-0,Animal_1,Nose,Chamber1,rectangle,TOTAL ROI TIME (S),9.92
C1-N_8D2-0,Animal_1,Nose,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),0.32
C1-N_8D2-0,Animal_1,Nose,Chamber2,rectangle,ROI ENTRIES (COUNTS),157.0
C1-N_8D2-0,Animal_1,Nose,Chamber2,rectangle,TOTAL ROI TIME (S),32.88
C1-N_8D2-0,Animal_1,Nose,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),3.64
C1-N_8D2-0,Animal_1,Nose,Chamber3,rectangle,ROI ENTRIES (COUNTS),62.0
C1-N_8D2-0,Animal_1,Nose,Chamber3,rectangle,TOTAL ROI TIME (S),13.919999999999996
C1-N_8D2-0,Animal_1,Nose,Top_half,rectangle,FIRST ROI ENTRY TIME (S),23.88
C1-N_8D2-0,Animal_1,Nose,Top_half,rectangle,ROI ENTRIES (COUNTS),12.0
C1-N_8D2-0,Animal_1,Nose,Top_half,rectangle,TOTAL ROI TIME (S),2.48
C1-N_8D2-5,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),0.12
C1-N_8D2-5,Animal_1,Nose,Chamber1,rectangle,ROI ENTRIES (COUNTS),30.0
C1-N_8D2-5,Animal_1,Nose,Chamber1,rectangle,TOTAL ROI TIME (S),4.48
C1-N_8D2-5,Animal_1,Nose,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),6.64
C1-N_8D2-5,Animal_1,Nose,Chamber2,rectangle,ROI ENTRIES (COUNTS),92.0
C1-N_8D2-5,Animal_1,Nose,Chamber2,rectangle,TOTAL ROI TIME (S),22.96
C1-N_8D2-5,Animal_1,Nose,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),21.56
C1-N_8D2-5,Animal_1,Nose,Chamber3,rectangle,ROI ENTRIES (COUNTS),131.0
C1-N_8D2-5,Animal_1,Nose,Chamber3,rectangle,TOTAL ROI TIME (S),32.2
C1-N_8D2-5,Animal_1,Nose,Top_half,rectangle,FIRST ROI ENTRY TIME (S),33.56
C1-N_8D2-5,Animal_1,Nose,Top_half,rectangle,ROI ENTRIES (COUNTS),12.0
C1-N_8D2-5,Animal_1,Nose,Top_half,rectangle,TOTAL ROI TIME (S),2.24
C1-N_8E5-0,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),20.88
C1-N_8E5-0,Animal_1,Nose,Chamber1,rectangle,ROI ENTRIES (COUNTS),29.0
C1-N_8E5-0,Animal_1,Nose,Chamber1,rectangle,TOTAL ROI TIME (S),3.68
C1-N_8E5-0,Animal_1,Nose,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),2.92
C1-N_8E5-0,Animal_1,Nose,Chamber2,rectangle,ROI ENTRIES (COUNTS),170.0
C1-N_8E5-0,Animal_1,Nose,Chamber2,rectangle,TOTAL ROI TIME (S),15.879999999999999
C1-N_8E5-0,Animal_1,Nose,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),7.84
C1-N_8E5-0,Animal_1,Nose,Chamber3,rectangle,ROI ENTRIES (COUNTS),70.0
C1-N_8E5-0,Animal_1,Nose,Chamber3,rectangle,TOTAL ROI TIME (S),7.800000000000001
C1-N_8E5-0,Animal_1,Nose,Top_half,rectangle,FIRST ROI ENTRY TIME (S),32.2
C1-N_8E5-0,Animal_1,Nose,Top_half,rectangle,ROI ENTRIES (COUNTS),10.0
C1-N_8E5-0,Animal_1,Nose,Top_half,rectangle,TOTAL ROI TIME (S),0.6000000000000001
C1-N_8E5-5,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),0.2
C1-N_8E5-5,Animal_1,Nose,Chamber1,rectangle,ROI ENTRIES (COUNTS),69.0
